Fecha,Clics,Impresiones,CTR,Posición
2025-12-23,0,8,0%,13.8
2025-12-24,0,4,0%,42.8
2025-12-25,0,3,0%,55
2025-12-26,0,1,0%,1
2025-12-27,0,8,0%,5.4
2025-12-28,0,2,0%,86.5
2025-12-29,0,4,0%,36.2
2025-12-30,0,6,0%,47
2025-12-31,0,2,0%,36.5
2026-01-01,0,6,0%,77.2
2026-01-02,1,29,3.45%,3.5
2026-01-03,0,13,0%,10.5
2026-01-04,1,2,50%,6
2026-01-05,0,3,0%,7.3
2026-01-06,0,2,0%,11.5
2026-01-07,0,8,0%,22.2
2026-01-08,0,6,0%,45.3
2026-01-09,0,7,0%,56
2026-01-10,0,3,0%,7.3
2026-01-11,0,3,0%,20.3
2026-01-12,0,13,0%,10.4
2026-01-13,0,8,0%,11.1
2026-01-14,0,5,0%,18.2
2026-01-15,1,9,11.11%,15.9
2026-01-16,1,7,14.29%,14
2026-01-17,0,0,,
2026-01-18,1,3,33.33%,44.7
2026-01-19,0,7,0%,5.4
2026-01-20,0,7,0%,17.1
2026-01-21,0,11,0%,16.5
2026-01-22,0,5,0%,21.4
2026-01-23,0,6,0%,6.3
2026-01-24,0,1,0%,75
2026-01-25,0,8,0%,18.8
2026-01-26,0,9,0%,18.4
2026-01-27,0,18,0%,9.2
2026-01-28,0,14,0%,24.1
2026-01-29,0,10,0%,24.7
2026-01-30,1,5,20%,19
2026-01-31,0,4,0%,47.8
2026-02-01,0,3,0%,19.3
2026-02-02,1,7,14.29%,12.3
2026-02-03,2,10,20%,13.7
2026-02-04,0,5,0%,34.6
2026-02-05,0,9,0%,19.9
2026-02-06,1,11,9.09%,19.1
2026-02-07,0,9,0%,20.6
2026-02-08,0,4,0%,26
2026-02-09,1,9,11.11%,5.9
2026-02-10,1,8,12.5%,7.1
2026-02-11,0,3,0%,5
2026-02-12,1,3,33.33%,4
2026-02-13,1,4,25%,3
2026-02-14,2,2,100%,1
2026-02-15,0,2,0%,7.5
2026-02-16,0,2,0%,8.5
2026-02-17,0,3,0%,30.3
2026-02-18,1,5,20%,15.4
2026-02-19,1,7,14.29%,5.9
2026-02-20,0,4,0%,5
2026-02-21,0,0,,
2026-02-22,0,0,,
2026-02-23,0,0,,
2026-02-24,2,2,100%,1
2026-02-25,1,2,50%,1
2026-02-26,0,0,,
2026-02-27,0,3,0%,9.7
2026-02-28,0,2,0%,1
2026-03-01,0,0,,
2026-03-02,0,1,0%,1
2026-03-03,0,2,0%,5.5
2026-03-04,0,1,0%,20
2026-03-05,0,2,0%,5.5
2026-03-06,0,1,0%,5
2026-03-07,0,0,,
2026-03-08,0,0,,
2026-03-09,0,1,0%,1
2026-03-10,0,1,0%,9
2026-03-11,1,5,20%,4.4
2026-03-12,0,0,,
2026-03-13,0,1,0%,7
2026-03-14,0,0,,
2026-03-15,0,0,,
2026-03-16,0,1,0%,2
2026-03-17,0,3,0%,3.3
2026-03-18,0,0,,
2026-03-19,0,5,0%,4.2
2026-03-20,0,2,0%,5
2026-03-21,0,1,0%,10
2026-03-22,0,1,0%,15
